"","palabra","freq","magrado","mactivacion","mimag"
"1","salud",36,2.6,1.6,2.6
"2","coronavirus",31,NA,NA,NA
"3","casos",27,NA,NA,NA
"4","lapampa",23,NA,NA,NA
"5","país",23,2.2,1.8,2.8
"6","provincia",23,2.6,2,2.8
"7","covid",21,NA,NA,NA
"8","medidas",21,NA,NA,NA
"9","ministerio",21,1.8,1.6,2.2
"10","personas",21,NA,NA,NA
"11","dos",15,NA,NA,NA
"12","virus",15,NA,NA,NA
"13","resolución",14,2.3333,2.5,2.3333
"14","además",12,NA,NA,NA
"15","caso",12,2,1.8,1.4
"16","evitar",12,1.8,3,2.4
"17","situación",12,2,2,1.6
"18","nación",11,2.8,3,2.8
"19","recomendaciones",11,NA,NA,NA
"20","todas",11,NA,NA,NA
"21","aislamiento",10,NA,NA,NA
"22","ayer",10,NA,NA,NA
"23","comité",10,1.8,2,2.8
"24","medida",10,2,2.1667,1.8333
"25","nacional",10,2.4,2.2,2.8
"26","según",10,NA,NA,NA
"27","autoridades",9,NA,NA,NA
"28","buenosaires",9,NA,NA,NA
"29","contacto",9,2.6667,2.6667,2.5
"30","cuarentena",9,NA,NA,NA
"31","decidió",9,NA,NA,NA
"32","días",9,NA,NA,NA
"33","enfermedad",9,1.2,2,2.8
"34","gobierno",9,2,2.6667,2.8333
"35","provincial",9,2.2,2,2.4
"36","público",9,2.3,2.3,2.9
"37","sanitaria",9,NA,NA,NA
"38","sector",9,2,1.8,2.6
"39","suspender",9,2,2,1.6
"40","viajes",9,NA,NA,NA
"41","actividades",8,NA,NA,NA
"42","ciudad",8,2.4,2.4,3
"43","deaños",8,NA,NA,NA
"44","fin",8,2,2.2,2.2
"45","manera",8,2,2,1.2
"46","propagación",8,NA,NA,NA
"47","sanitarias",8,NA,NA,NA
"48","santarosa",8,NA,NA,NA
"49","viernes",8,NA,NA,NA
"50","así",7,NA,NA,NA
