"","palabra","freq","magrado","mactivacion","mimag"
"1","casos",174,NA,NA,NA
"2","salud",173,2.6,1.6,2.6
"3","coronavirus",167,NA,NA,NA
"4","covid",110,NA,NA,NA
"5","aislamiento",107,NA,NA,NA
"6","cuarentena",94,NA,NA,NA
"7","país",91,2.2,1.8,2.8
"8","gobierno",84,2,2.6667,2.8333
"9","personas",82,NA,NA,NA
"10","lapampa",80,NA,NA,NA
"11","pandemia",78,NA,NA,NA
"12","provincia",70,2.6,2,2.8
"13","ministerio",68,1.8,1.6,2.2
"14","hospital",66,1.8,2.6,3
"15","virus",66,NA,NA,NA
"16","caso",64,2,1.8,1.4
"17","según",63,NA,NA,NA
"18","marzo",61,NA,NA,NA
"19","argentina",56,NA,NA,NA
"20","confirmados",55,NA,NA,NA
"21","medidas",55,NA,NA,NA
"22","ayer",52,NA,NA,NA
"23","presidente",51,1.8,2.8,3
"24","situación",50,2,2,1.6
"25","nacional",49,2.4,2.2,2.8
"26","dos",47,NA,NA,NA
"27","informó",47,NA,NA,NA
"28","además",46,NA,NA,NA
"29","deaños",46,NA,NA,NA
"30","días",45,NA,NA,NA
"31","elde",45,NA,NA,NA
"32","ciudad",44,2.4,2.4,3
"33","momento",43,2.2,1.6,1.8
"34","parte",40,2,1.8,2.8
"35","total",40,2,1.8,1.6
"36","transmisión",40,2,2.6,1.8
"37","dijo",39,NA,NA,NA
"38","hombre",39,2.4,2.4,3
"39","hoy",38,NA,NA,NA
"40","provincial",38,2.2,2,2.4
"41","obligatorio",37,NA,NA,NA
"42","sospechosos",37,NA,NA,NA
"43","número",35,2.1667,1.8333,2.6667
"44","fernández",34,NA,NA,NA
"45","información",34,2.2,2,2
"46","paciente",34,2.2,1.6,2.9
"47","día",33,2.4,2.2,3
"48","luego",33,NA,NA,NA
"49","pacientes",33,NA,NA,NA
"50","contacto",32,2.6667,2.6667,2.5
